"marg","b","kappa_F","kappa_BP","delta","se","z","rej_05"
"uniform",57,0.726193843844178,0.726833333333333,-0.000639489489155043,0.000547140165892821,-1.16878549413664,FALSE
"uniform",58,0.712921611651181,0.713,-7.8388348818681e-05,0.000186930775408666,-0.419344266064853,FALSE
"uniform",59,0.711410710351381,0.711833333333333,-0.000422622981952059,0.000439270808150169,-0.96210122346118,FALSE
"uniform",60,0.740071070582625,0.740166666666667,-9.5596084041194e-05,0.000192820877994927,-0.495776624581644,FALSE
"uniform",61,0.728368334095277,0.7285,-0.000131665904723355,0.000238620515984037,-0.551779482080085,FALSE
"uniform",62,0.74058264426756,0.740666666666667,-8.40223991066535e-05,0.000185334260983868,-0.45335599937438,FALSE
"uniform",63,0.721701282681295,0.7225,-0.000798717318704734,0.000562003220256659,-1.42119704997415,FALSE
"uniform",64,0.695361659852828,0.696166666666667,-0.000805006813838882,0.000608409342191089,-1.32313355172979,FALSE
"uniform",65,0.723528831059765,0.723833333333333,-0.000304502273568819,0.000358650379675921,-0.849022588081376,FALSE
"uniform",66,0.729705258377758,0.7305,-0.000794741622242134,0.000606720144966973,-1.30989819414253,FALSE
"uniform",67,0.709129301454187,0.7095,-0.000370698545813397,0.000413590645467475,-0.896293351592617,FALSE
"uniform",68,0.722086067131395,0.722333333333333,-0.00024726620193849,0.000314761797999605,-0.785566112247204,FALSE
"uniform",69,0.724888073369886,0.7265,-0.00161192663011367,0.000905895940729976,-1.77937283703332,FALSE
"uniform",70,0.720790958531327,0.721666666666667,-0.000875708135339659,0.000589861253560766,-1.48460020056131,FALSE
"uniform",71,0.705347517340224,0.7055,-0.00015248265977641,0.000253106939741803,-0.60244361506626,FALSE
"uniform",72,0.738844249612199,0.739,-0.000155750387800802,0.000254004154249288,-0.613180474394694,FALSE
"uniform",73,0.723397467483335,0.724,-0.000602532516665422,0.000540051055290553,-1.1156954713129,FALSE
"uniform",74,0.731534803998411,0.732166666666667,-0.000631862668255878,0.00052163372931893,-1.21131482253049,FALSE
"uniform",75,0.742374324589404,0.743166666666667,-0.000792342077262864,0.000564197831054453,-1.40436923655311,FALSE
"uniform",76,0.737996152044612,0.7385,-0.000503847955387604,0.00044543551210033,-1.13113557787938,FALSE
"uniform",77,0.709948193524566,0.71,-5.18064754343461e-05,0.000152955348566875,-0.338703261571108,FALSE
"uniform",78,0.715103593767842,0.715166666666667,-6.30728988242346e-05,0.000161964818439479,-0.389423452771646,FALSE
"uniform",79,0.719218968838205,0.719833333333333,-0.000614364495128195,0.000510188246678729,-1.20419178436125,FALSE
"uniform",80,0.717571998819737,0.718166666666667,-0.00059466784692952,0.000525467907263379,-1.13169203810473,FALSE
"uniform",81,0.705417901759129,0.7065,-0.00108209824087147,0.000708365516516026,-1.52759869818844,FALSE
"uniform",82,0.716958788621421,0.717166666666667,-0.000207878045245913,0.000291869168644939,-0.712230230452324,FALSE
"uniform",83,0.72279790870321,0.7235,-0.000702091296790108,0.000549654946108875,-1.27733099057939,FALSE
"uniform",84,0.732527986193413,0.733,-0.000472013806587013,0.000426490227596651,-1.10674002836336,FALSE
"uniform",85,0.723860444344273,0.724333333333333,-0.000472888989060394,0.000472974061474273,-0.999820133024602,FALSE
"uniform",86,0.712085010776667,0.712166666666667,-8.16558899991993e-05,0.000187907966031419,-0.4345525723244,FALSE
"uniform",87,0.744651094092178,0.745,-0.000348905907822439,0.00038469357132782,-0.906970986331134,FALSE
"uniform",88,0.729484969439038,0.73,-0.000515030560962471,0.000472248218662417,-1.09059291408495,FALSE
"uniform",89,0.728375877953787,0.728666666666667,-0.000290788712879464,0.000344046755092466,-0.8452011494813,FALSE
"uniform",90,0.714872218348674,0.715333333333333,-0.000461114984659394,0.000426536760681461,-1.08106739480717,FALSE
