"cell","b","kappa_AC","kappa_IPW","delta","se","z","var_AC","var_IPW","cov_AC_IPW","reject_05"
"null",102,0.854921149097262,0.853582051306027,0.00133909779123509,0.000636048451157348,2.10533928476436,0.000191944778114397,0.000196178161486801,0.000193859190984489,TRUE
"null",103,0.821634837873841,0.821608988845668,2.58490281725976e-05,0.000483949337191294,0.0534126739848805,0.000258317768127787,0.00025925462512988,0.00025866909314835,FALSE
"null",104,0.822994638046992,0.823025027072544,-3.03890255527461e-05,0.00022887858980615,-0.132773561644557,0.000258225662972823,0.0002584454145738,0.000258309346068876,FALSE
"null",105,0.818453518361453,0.818941354829821,-0.000487836468367919,0.000299038928770628,-1.63134769902184,0.000240357094795631,0.000239227254491338,0.000239747462503024,FALSE
"null",106,0.838934887020414,0.840003312564923,-0.00106842554450837,0.000639175109559039,-1.67156938455483,0.000220352626103774,0.000218372006188891,0.000219158043735993,FALSE
"null",107,0.816128657505473,0.816484794379767,-0.000356136874293478,0.000446983397986252,-0.79675638043369,0.000258168074680165,0.000257683501375254,0.000257825890948672,FALSE
"null",108,0.847881771892688,0.847914764841135,-3.29929484469416e-05,0.000324059121491881,-0.101811509872183,0.00021345940686587,0.000213149735507403,0.000213252064029525,FALSE
"null",109,0.823855702152754,0.823799402770309,5.62993824446689e-05,0.000349359976682734,0.161150063551202,0.000241256479379161,0.000241049331746015,0.000241091879365934,FALSE
"null",110,0.811459559317676,0.810129957569108,0.00132960174856722,0.000589560175901787,2.25524348983286,0.000246101581058847,0.000248428872663703,0.00024709143626077,TRUE
"null",111,0.85297691128584,0.852912066965546,6.48443202937443e-05,0.000339258719226882,0.19113530948155,0.000201021715548275,0.000201858614252868,0.000201382616661286,FALSE
"null",112,0.827361053911245,0.82707179586178,0.000289258049465779,0.000523406513762889,0.552645108266301,0.000253788037518632,0.000254935657385331,0.000254224870262657,FALSE
"null",113,0.848403004849279,0.847556671833959,0.000846333015320222,0.000694172447859058,1.21919707117511,0.000213865762911003,0.000217823866598351,0.000215603877060994,FALSE
"null",114,0.850093828288217,0.850254235754043,-0.00016040746582624,0.000596921038900201,-0.268724764873061,0.000213791951059715,0.000213453167747128,0.00021344440204008,FALSE
"null",115,0.805729481437371,0.805894431812472,-0.000164950375101336,0.000524121229856073,-0.314717980698153,0.000270951668924777,0.000271630861281121,0.000271153913571156,FALSE
"null",116,0.829225904918233,0.828939124729143,0.000286780189089786,0.000345657570145342,0.829665581949213,0.000230077386076487,0.00023137507240969,0.000230666489665189,FALSE
