"dgp","method","n","b","truth","est","se"
"B","fiml",500,28,0.694887512467808,0.686524360875067,0.0270236430401374
"B","ipw",500,29,0.694887512467808,0.687380503417318,0.0296758196645816
"B","fiml",500,29,0.694887512467808,0.661140879646144,0.030049416655823
"B","ipw",500,30,0.694887512467808,0.652902712361949,0.0307463717170132
"B","fiml",500,30,0.694887512467808,0.660380999964639,0.026831107439933
"B","ipw",500,31,0.694887512467808,0.676346535081775,0.0294419939159275
"B","fiml",500,31,0.694887512467808,0.668325663017577,0.0279907731439616
"B","ipw",500,32,0.694887512467808,0.712634484097594,0.0323494213223472
"B","fiml",500,32,0.694887512467808,0.737127022978103,0.0351197482885483
"B","ipw",500,33,0.694887512467808,0.698589039948251,0.029418619738639
"B","fiml",500,33,0.694887512467808,0.691787858921729,0.0370794817281383
"B","ipw",500,34,0.694887512467808,0.705768654313443,0.0309469774861308
"B","fiml",500,34,0.694887512467808,0.69261227459488,0.0287425201022076
"B","ipw",500,35,0.694887512467808,0.7068278126818,0.0282565758595378
"B","fiml",500,35,0.694887512467808,0.67419503697451,0.0278401705978038
"B","ipw",500,36,0.694887512467808,0.687557795809695,0.0329919620802475
"B","fiml",500,36,0.694887512467808,0.704283905272068,0.0281513581663865
"B","ipw",500,37,0.694887512467808,0.692956831982768,0.0302697333445405
"B","fiml",500,37,0.694887512467808,0.690449777275609,0.0374379043511309
"B","ipw",500,38,0.694887512467808,0.668549444671687,0.0303815218714279
"B","fiml",500,38,0.694887512467808,0.651934130933701,0.0314061449807017
"B","ipw",500,39,0.694887512467808,0.681757066865264,0.0311120944126957
"B","fiml",500,39,0.694887512467808,0.676440952610045,0.0310095597828681
"B","ipw",500,40,0.694887512467808,0.749424535539141,0.0267684868581113
"B","fiml",500,40,0.694887512467808,0.715056886400864,0.0296088111140318
"B","ipw",500,41,0.694887512467808,0.715610850622212,0.0351040758132413
